regional_master,date_field,sales
50000620,2020-08-23,53016.12999999979
50000620,2020-08-30,62704.70999999987
50000620,2020-09-06,123261.38000000006
50000620,2020-09-13,138151.62000000005
50000620,2020-09-20,104047.06999999986
50000620,2020-09-27,40412.39999999982
50000620,2020-10-04,68975.80999999969
50000620,2020-10-11,47291.22999999985
50000620,2020-10-18,126065.63
50000620,2020-10-25,176403.42000000036
50000620,2020-11-01,109926.79000000024
50000620,2020-11-08,371265.0400000005
50000620,2020-11-15,379047.6700000007
50000620,2020-11-22,166473.8300000009
50000620,2020-11-29,153901.61000000112
50000620,2020-12-06,47276.43999999996
50000620,2020-12-13,85439.77000000008
50000620,2020-12-20,58566.22999999998
50000620,2020-12-27,80478.44000000024
50000620,2021-01-03,138152.1300000005
50000620,2021-01-10,132078.2300000005
50000620,2021-01-17,145363.58000000077
50000620,2021-01-24,57480.76999999987
50000620,2021-01-31,74683.18999999977
50000620,2021-02-07,81055.27999999982
50000620,2021-02-14,109713.79000000008
50000620,2021-02-21,56571.25999999995
50000620,2021-02-28,174200.42000000022
50000620,2021-03-07,80296.43000000008
50000620,2021-03-14,93827.57000000008
50000620,2021-03-21,131539.14000000074
50000620,2021-03-28,140142.7700000007
50000620,2021-04-04,85969.33000000035
50000620,2021-04-11,88996.50000000028
50000620,2021-04-18,98019.6600000006
50000620,2021-04-25,120710.21000000065
50000620,2021-05-02,226129.3299999993
50000620,2021-05-09,239724.4699999997
50000620,2021-05-16,184557.3699999996
50000620,2021-05-23,116618.3300000004
50000620,2021-05-30,90319.10000000012
50000620,2021-06-06,103766.03000000025
50000620,2021-06-13,137265.89000000074
50000620,2021-06-20,106558.49000000008
50000620,2021-06-27,89047.21000000034
50000620,2021-07-04,90036.11000000012
50000620,2021-07-11,95498.13000000024
50000620,2021-07-18,137331.4100000008
50000620,2021-07-25,110787.32000000068
50000620,2021-08-01,95939.77000000048
50000620,2021-08-08,100485.91000000008
50000620,2021-08-15,138361.02000000162
50000620,2021-08-22,108907.62000000077
50000620,2021-08-29,86681.42000000006
50000620,2021-09-05,73705.53999999989
50000620,2021-09-12,67623.12999999996
50000620,2021-09-19,108826.1100000012
50000620,2021-09-26,168789.57000000155
50000620,2021-10-03,110184.70000000104
50000620,2021-10-10,84888.89999999982
50000620,2021-10-17,133353.18000000122
50000620,2021-10-24,212236.4900000014
50000620,2021-10-31,205001.07000000108
50000620,2021-11-07,759785.2799999963
50000620,2021-11-14,633833.489999995
50000620,2021-11-21,536939.1099999917
50000620,2021-11-28,230861.71000000145
50000620,2021-12-05,112778.78000000096
50000620,2021-12-12,134539.82999999958
50000620,2021-12-19,184772.39000000028
50000620,2021-12-26,137974.96999999922
50000620,2022-01-02,149448.63000000012
50000620,2022-01-09,158672.28999999995
50000620,2022-01-16,194187.98000000016
50000620,2022-01-23,211171.08000000005
50000620,2022-01-30,124105.77999999958
50000620,2022-02-06,123325.72
50000620,2022-02-13,128216.47999999976
50000620,2022-02-20,74647.56999999918
50000620,2022-02-27,85972.82999999954
50000620,2022-03-06,80311.8799999993
50000620,2022-03-13,238216.7900000004
50000620,2022-03-20,425745.1799999997
50000620,2022-03-27,318359.9800000007
50000620,2022-04-03,106266.81999999969
50000620,2022-04-10,104668.13999999968
50000620,2022-04-17,128258.0699999996
50000620,2022-04-24,206596.05999999976
50000620,2022-05-01,134659.6199999992
50000620,2022-05-08,133719.4299999994
50000620,2022-05-15,129559.74999999977
50000620,2022-05-22,117882.97999999946
50000620,2022-05-29,149083.75999999978
50000620,2022-06-05,235871.15999999907
50000620,2022-06-12,191487.19999999928
50000620,2022-06-19,241187.6099999993
50000620,2022-06-26,179098.51999999955
50000620,2022-07-03,148431.86999999973
50000620,2022-07-10,134310.2899999998
50000620,2022-07-17,115246.49999999962
50000620,2022-07-24,136105.57999999996
50000620,2022-07-31,144277.61999999994
50000620,2022-08-07,131325.88000000003
50000620,2022-08-14,105786.85999999996
50000620,2022-08-21,100069.32999999968
50000620,2022-08-28,105091.10000000006
50000620,2022-09-04,96580.3199999998
50000620,2022-09-11,104138.52000000002
50000620,2022-09-18,124182.30999999984
50000620,2022-09-25,134776.45000000004
50000620,2022-10-02,117989.38999999972
50000620,2022-10-09,118243.1599999998
50000620,2022-10-16,153584.96000000014
50000620,2022-10-23,207422.5599999993
50000620,2022-10-30,215652.2999999998
50000620,2022-11-06,825252.4199999995
50000620,2022-11-13,1065682.650000005
50000620,2022-11-20,453083.5500000002
50000620,2022-11-27,450747.1099999987
50000620,2022-12-04,190758.2199999999
50000620,2022-12-11,277806.0999999977
50000620,2022-12-18,194617.73999999888
50000620,2022-12-25,205418.04999999888
50000620,2023-01-01,253017.9599999994
50000620,2023-01-08,185777.17000000025
50000620,2023-01-15,187339.5899999996
50000620,2023-01-22,331326.3000000013
50000620,2023-01-29,116907.07000000017
50000620,2023-02-05,154058.34000000035
50000620,2023-02-12,205832.4699999995
50000620,2023-02-19,136291.33999999988
50000620,2023-02-26,114384.44999999998
50000620,2023-03-05,373093.0599999999
50000620,2023-03-12,795727.1599999993
50000620,2023-03-19,464455.87999999966
50000620,2023-03-26,224870.4099999996
50000620,2023-04-02,143456.16999999966
50000620,2023-04-09,144361.13000000015
50000620,2023-04-16,145002.50999999934
50000620,2023-04-23,215379.18999999927
50000620,2023-04-30,339409.5999999995
50000620,2023-05-07,318797.87000000064
50000620,2023-05-14,263602.31000000145
50000620,2023-05-21,260185.85000000097
50000620,2023-05-28,302576.8400000026
50000620,2023-06-04,260191.12000000244
50000620,2023-06-11,280133.55000000226
50000620,2023-06-18,228669.0700000013
50000620,2023-06-25,193743.8100000018
50000620,2023-07-02,237826.7900000012
50000620,2023-07-09,225622.4099999999
50000620,2023-07-16,285638.63000000047
50000620,2023-07-23,303397.77000000176
50000620,2023-07-30,265586.65999999974
50000620,2023-08-06,197754.14000000025
50000620,2023-08-13,194564.13000000003
50000620,2023-08-20,204740.30999999976
50000620,2023-08-27,199447.5100000005
50000620,2023-09-03,184521.46999999977
50000620,2023-09-10,148120.51000000004
50000620,2023-09-17,227363.23999999987
50000620,2023-09-24,192746.3400000005
50000620,2023-10-01,157533.62000000017
50000620,2023-10-08,200365.21
50000620,2023-10-15,188408.7499999998
50000620,2023-10-22,311531.98000000103
